      Time     Sample #  Type  Sub Chan  Num	Aux
[11:30:00.422]       54     N    0   16   11
[11:30:00.953]      122     N    0   16   11
[11:30:01.484]      190     N    0   16   11
[11:30:02.016]      258     N    0   16   11
[11:30:02.547]      326     N    0   16   11
[11:30:03.086]      395     N    0   16   11
[11:30:03.602]      461     N    0   16   11
[11:30:04.125]      528     N    0   16   11
[11:30:04.664]      597     N    0   16   11
[11:30:05.195]      665     N    0   16   11
[11:30:05.727]      733     N    0   16   11
[11:30:06.266]      802     N    0   16   11
[11:30:06.813]      872     N    0   16   11
[11:30:07.352]      941     N    0   16   11
[11:30:07.883]     1009     N    0   16   11
[11:30:08.422]     1078     N    0   16   11
[11:30:08.953]     1146     N    0   16   11
[11:30:09.484]     1214     N    0   16   11
[11:30:10.008]     1281     N    0   16   11
[11:30:10.531]     1348     N    0   16   11
[11:30:11.063]     1416     N    0   16   11
[11:30:11.594]     1484     N    0   16   11
[11:30:12.133]     1553     N    0   16   11
[11:30:12.664]     1621     N    0   16   11
[11:30:13.188]     1688     N    0   16   11
[11:30:13.727]     1757     N    0   16   11
[11:30:14.258]     1825     N    0   16   11
[11:30:14.781]     1892     N    0   16   11
[11:30:15.305]     1959     N    0   16   11
[11:30:15.844]     2028     N    0   16   11
[11:30:16.375]     2096     N    0   16   11
[11:30:16.898]     2163     N    0   16   11
[11:30:17.430]     2231     N    0   16   11
[11:30:17.969]     2300     N    0   16   11
[11:30:18.500]     2368     N    0   16   11
[11:30:19.023]     2435     N    0   16   11
[11:30:19.547]     2502     N    0   16   11
[11:30:20.078]     2570     N    0   16   11
[11:30:20.609]     2638     N    0   16   11
[11:30:21.133]     2705     N    0   16   11
[11:30:21.664]     2773     N    0   16   11
[11:30:22.195]     2841     N    0   16   11
[11:30:22.727]     2909     N    0   16   11
[11:30:23.258]     2977     N    0   16   11
[11:30:23.781]     3044     N    0   16   11
[11:30:24.305]     3111     N    0   16   11
[11:30:24.836]     3179     N    0   16   11
[11:30:25.359]     3246     N    0   16   11
[11:30:25.891]     3314     N    0   16   11
[11:30:26.414]     3381     N    0   16   11
[11:30:26.945]     3449     N    0   16   11
[11:30:27.469]     3516     N    0   16   11
[11:30:27.992]     3583     N    0   16   11
[11:30:28.523]     3651     N    0   16   11
[11:30:29.063]     3720     N    0   16   11
[11:30:29.586]     3787     N    0   16   12
[11:30:30.117]     3855     N    0   16   11
[11:30:30.656]     3924     N    0   16   11
[11:30:31.188]     3992     N    0   16   12
[11:30:31.719]     4060     N    0   16   12
[11:30:32.250]     4128     N    0   16   11
[11:30:32.781]     4196     N    0   16   12
[11:30:33.313]     4264     N    0   16   12
[11:30:33.852]     4333     N    0   16   11
[11:30:34.383]     4401     N    0   16   11
[11:30:34.930]     4471     N    0   16   11
[11:30:35.461]     4539     N    0   16   15
[11:30:35.984]     4606     N    0   16   12
[11:30:36.516]     4674     N    0   16   12
[11:30:37.047]     4742     N    0    0   24
[11:30:37.570]     4809     N    0    0   24
[11:30:38.094]     4876     N    0    0   24
[11:30:38.609]     4942     N    0   16   12
[11:30:39.156]     5012     N    0   16   12
[11:30:39.727]     5085     N    0   16   12
[11:30:40.328]     5162     N    0   16   12
[11:30:40.914]     5237     N    0    0   24
[11:30:41.484]     5310     N    0   16   12
[11:30:42.055]     5383     N    0   16   12
[11:30:42.617]     5455     N    0   16   12
[11:30:43.172]     5526     N    0   16   11
[11:30:43.727]     5597     N    0   16   11
[11:30:44.273]     5667     N    0   16   12
[11:30:44.805]     5735     N    0   16   12
[11:30:45.336]     5803     N    0   16   12
[11:30:45.859]     5870     N    0   16   12
[11:30:46.383]     5937     N    0   16   11
[11:30:46.914]     6005     N    0   16   11
[11:30:47.422]     6070     N    0   16   11
[11:30:47.938]     6136     N    0   16   12
[11:30:48.453]     6202     N    0    0   24
[11:30:48.969]     6268     N    0   16   12
[11:30:49.477]     6333     N    0   16   12
[11:30:50.000]     6400     N    0    0   24
[11:30:50.531]     6468     N    0   16   12
[11:30:50.797]     6502     |    0    1  108
[11:30:51.117]     6543     N    0   16   20
[11:30:51.688]     6616     |    0   16   13
[11:30:51.938]     6648     N    0   16   12
[11:30:52.805]     6759     N    0   16   20
[11:30:53.563]     6856     N    0   16   12
[11:30:54.242]     6943     N    0   16   12
[11:30:54.836]     7019     N    0   16   12
[11:30:55.406]     7092     N    0   16   12
[11:30:55.961]     7163     N    0   16   12
[11:30:56.508]     7233     N    0   16   12
[11:30:57.047]     7302     N    0   16   12
[11:30:57.586]     7371     N    0   16   12
[11:30:58.117]     7439     N    0   16   12
[11:30:58.648]     7507     N    0   16   11
[11:30:59.164]     7573     N    0   16   12
[11:30:59.695]     7641     N    0   16   11
